0.174	0.267	-2.74413e-05	-0.00204992	-0.0183748	-0.533711	-1.67303	
0.182	0.273	2.615e-05	-0.00102894	-0.019851	-0.539789	-1.67369	
0.136	0.211	1.53382e-05	-0.00851848	-0.00872308	-0.504842	-1.66459	
0.132	0.207	-2.07587e-05	-0.00402606	-0.0150024	-0.498288	-1.66676	
0.328	0.327	-1.26936e-06	-0.00148234	-0.02859	-0.63406	-1.68036	
0.184	0.27	-4.97469e-05	-0.00121162	-0.019723	-0.540517	-1.67203	
0.292	0.32	5.96316e-07	-0.00642892	-0.0239387	-0.60766	-1.68167	
0.282	0.31	-5.50455e-05	-0.00171835	-0.0270079	-0.605011	-1.67814	
0.188	0.276	1.8845e-05	-0.00173245	-0.0189135	-0.545239	-1.6734	
0.18	0.267	-3.34807e-06	-0.000211048	-0.0205126	-0.537627	-1.67178	
0.192	0.281	8.80891e-05	-0.0037097	-0.0178563	-0.54635	-1.6746	
0.132	0.21	1.51717e-05	-0.00212822	-0.0171988	-0.497338	-1.66709	
0.23	0.301	-2.52556e-05	-0.00342867	-0.0207744	-0.571524	-1.67774	
0.296	0.311	1.21897e-05	-0.0024969	-0.0256054	-0.616834	-1.67799	
0.3	0.318	-4.46409e-06	-0.00542212	-0.0294321	-0.610686	-1.6814	
0.14	0.217	-8.51099e-06	-9.44734e-05	-0.0187259	-0.506526	-1.66667	
0.314	0.314	-4.00572e-05	-0.00128272	-0.0327297	-0.627605	-1.67921	
0.25	0.305	-1.92362e-06	-0.00106985	-0.0231142	-0.587758	-1.67767	
0.144	0.224	6.44206e-07	-0.00367299	-0.0165568	-0.507959	-1.66824	
0.13	0.205	-3.28842e-05	-0.00945268	-0.00995338	-0.495744	-1.66708	
0.188	0.278	-1.29931e-05	-0.00264255	-0.0187466	-0.543611	-1.67429	
0.132	0.205	3.34861e-05	-0.0021579	-0.0147271	-0.501475	-1.66419	
0.212	0.29	-2.80685e-06	-0.00152187	-0.020522	-0.562123	-1.67528	
0.17	0.259	-2.16966e-05	-0.00027668	-0.0198087	-0.530207	-1.67087	
0.132	0.208	-1.04553e-05	-0.00779321	-0.0117209	-0.497497	-1.66718	
0.196	0.283	-2.24536e-05	-0.00183369	-0.0200136	-0.549324	-1.67493	
0.154	0.235	-2.824e-05	-0.00283624	-0.0181803	-0.51602	-1.66933	
0.148	0.231	9.66067e-06	-0.00961482	-0.0114598	-0.509939	-1.66921	
0.192	0.28	-6.64644e-05	-0.000876544	-0.0205726	-0.546864	-1.67456	
0.172	0.266	-5.63972e-06	-0.00785069	-0.0124945	-0.531878	-1.6728	
0.132	0.209	-3.30075e-06	-0.0067335	-0.012942	-0.497095	-1.66735	
0.312	0.328	2.53411e-06	-0.005531	-0.0260426	-0.618655	-1.68193	
0.236	0.304	-0.000122655	-0.00536008	-0.019268	-0.575074	-1.6782	
0.16	0.248	6.99082e-05	-0.00134625	-0.0182499	-0.522341	-1.66943	
0.162	0.244	-1.37715e-05	-0.00562691	-0.0164782	-0.521262	-1.67065	
0.212	0.284	3.6222e-06	-4.71327e-05	-0.0229824	-0.560033	-1.67389	
0.182	0.274	5.60844e-06	-0.00457458	-0.0164053	-0.539204	-1.67372	
0.154	0.239	-7.96213e-06	-0.00418092	-0.0172252	-0.514504	-1.66974	
0.14	0.222	-9.76863e-05	-0.00314407	-0.0169262	-0.503605	-1.66809	
0.176	0.268	-1.82988e-05	-0.000517696	-0.0199719	-0.535559	-1.67309	
0.306	0.316	-1.90188e-05	-0.0092666	-0.025288	-0.61761	-1.68067	
0.31	0.312	2.99227e-05	-0.00287752	-0.0219032	-0.636108	-1.67254	
0.154	0.236	-2.18385e-06	-0.00497633	-0.016341	-0.515348	-1.66963	
0.152	0.232	1.90877e-06	-0.00128666	-0.0191957	-0.51523	-1.66868	
0.374	0.348	-5.7706e-05	-0.00153513	-0.0290455	-0.659632	-1.67789	
0.28	0.32	-1.39358e-06	-0.0053743	-0.0223915	-0.601209	-1.68087	
0.346	0.335	4.0848e-06	-0.00637708	-0.022838	-0.643753	-1.67426	
0.16	0.242	3.61102e-07	-0.00525319	-0.0166538	-0.519822	-1.67038	
0.294	0.312	8.90698e-05	-0.000666346	-0.0246495	-0.623779	-1.67832	
0.134	0.209	-1.88789e-05	-0.00135537	-0.0173078	-0.500913	-1.66631	
0.204	0.287	-9.21754e-05	-0.000547995	-0.0217492	-0.555208	-1.67555	
0.176	0.264	-1.01895e-05	-0.000675051	-0.0196866	-0.534746	-1.67139	
0.318	0.321	8.70517e-06	-0.00319063	-0.0253569	-0.630706	-1.67944	
0.298	0.324	-1.29547e-05	-0.00781062	-0.0224195	-0.610815	-1.68179	
0.142	0.223	6.99077e-06	-0.00898298	-0.0114561	-0.505489	-1.66845	
0.176	0.267	4.65759e-06	-0.000914909	-0.0189152	-0.53661	-1.67229	
